Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Public Transport Hub,01:36,Well-lit,0.23,0.42,0,1,1,0.75,1
Market Area,19:47,Moderately-lit,0.06,0.55,0,0,1,0.73,0
Alleyway,04:25,Well-lit,0.09,0.83,1,0,0,0.18,1
Suburban Street,21:50,Poorly-lit,0.41,0.32,0,0,1,0.47,0
Commercial District,20:59,Moderately-lit,0.75,0.39,1,1,1,0.88,1
Main Road,05:20,No lighting,0.74,0.36,0,1,1,0.21,0
Alleyway,20:00,Moderately-lit,0.15,0.68,0,0,0,0.3,0
University Campus,00:12,Poorly-lit,0.49,0.41,1,0,0,0.44,0
Public Transport Hub,22:08,Poorly-lit,0.56,0.5,0,1,0,0.76,0
Market Area,04:26,Well-lit,0.09,0.45,0,1,0,0.83,1
Park,00:53,Moderately-lit,0.18,0.51,0,0,1,0.22,0
Alleyway,19:51,Poorly-lit,0.13,0.79,0,0,0,0.13,0
Public Transport Hub,03:31,No lighting,0.03,0.56,0,1,0,0.71,0
Alleyway,23:08,Poorly-lit,0.02,0.9,0,0,0,0.27,1
Suburban Street,21:08,Poorly-lit,0.24,0.39,0,1,1,0.52,0
Residential Area,00:42,Moderately-lit,0.71,0.35,0,1,0,0.46,0
Market Area,05:48,Well-lit,0.17,0.38,1,0,1,0.72,1
Suburban Street,23:32,Poorly-lit,0.45,0.38,0,0,1,0.51,0
Park,18:30,Poorly-lit,0.14,0.73,0,0,0,0.21,0
Industrial Zone,23:00,Moderately-lit,0.0,0.56,1,0,0,0.24,1
Residential Area,01:48,Well-lit,0.19,0.28,1,0,0,0.41,1
University Campus,23:55,Poorly-lit,0.22,0.28,1,1,0,0.55,0
Market Area,23:59,Moderately-lit,0.28,0.29,0,0,0,0.72,0
Alleyway,00:07,Well-lit,0.86,0.68,1,0,1,0.12,1
Industrial Zone,04:11,No lighting,0.03,0.69,1,1,0,0.14,1
University Campus,18:16,Moderately-lit,0.26,0.22,1,0,1,0.57,1
Public Transport Hub,23:35,Poorly-lit,0.15,0.63,0,1,1,0.73,0
Suburban Street,23:40,No lighting,0.08,0.26,1,0,0,0.44,0
Public Transport Hub,00:24,Moderately-lit,0.37,0.38,0,0,1,0.84,0
Alleyway,23:51,Well-lit,0.11,0.81,1,0,1,0.2,1
Industrial Zone,01:43,No lighting,0.31,0.78,0,0,0,0.28,0
Market Area,19:01,No lighting,0.17,0.4,0,0,0,0.87,0
Alleyway,04:19,Moderately-lit,0.02,0.69,0,1,0,0.21,0
Main Road,18:03,Well-lit,0.12,0.34,1,1,1,0.27,1
Industrial Zone,19:22,Well-lit,0.05,0.62,0,1,0,0.14,0
Public Transport Hub,22:45,Moderately-lit,0.39,0.45,1,1,1,0.71,1
Industrial Zone,23:44,Poorly-lit,0.06,0.62,0,1,1,0.26,0
Alleyway,21:06,Moderately-lit,0.51,0.88,1,0,1,0.27,1
Industrial Zone,23:45,Moderately-lit,0.37,0.77,1,0,0,0.12,0
Market Area,00:21,Well-lit,0.02,0.34,0,0,0,0.75,1
Alleyway,01:26,No lighting,0.0,0.67,0,0,0,0.25,0
University Campus,21:56,Well-lit,0.15,0.44,1,0,0,0.45,1
Commercial District,20:09,Well-lit,0.36,0.52,1,1,1,0.84,1
Suburban Street,04:41,Poorly-lit,0.11,0.26,0,1,0,0.58,0
University Campus,02:15,Well-lit,0.06,0.31,1,0,0,0.59,1
Residential Area,03:50,Well-lit,0.22,0.1,0,0,0,0.42,1
Public Transport Hub,20:44,Poorly-lit,0.51,0.45,1,1,1,0.75,1
Public Transport Hub,00:07,Well-lit,0.22,0.5,1,1,0,0.81,1
Commercial District,02:50,No lighting,0.07,0.47,1,1,1,0.8,1
Alleyway,18:46,No lighting,0.03,0.71,0,1,0,0.27,0
Commercial District,04:58,Poorly-lit,0.46,0.35,1,0,1,0.8,0
Industrial Zone,02:42,Poorly-lit,0.62,0.74,0,0,0,0.13,0
Industrial Zone,18:11,Poorly-lit,0.18,0.58,1,0,0,0.26,0
Park,22:27,Well-lit,0.05,0.74,0,1,0,0.29,0
Market Area,22:50,Well-lit,0.62,0.31,0,0,1,0.76,1
Residential Area,18:26,Well-lit,0.06,0.2,0,0,0,0.59,1
Alleyway,03:42,Poorly-lit,0.1,0.81,0,0,0,0.19,0
Park,18:33,Well-lit,0.11,0.66,0,1,0,0.22,1
Market Area,05:30,No lighting,0.14,0.29,0,0,0,0.82,0
Market Area,20:31,Well-lit,0.03,0.52,0,0,1,0.81,1
Residential Area,05:29,Well-lit,0.18,0.26,1,1,0,0.47,1
Suburban Street,20:50,Poorly-lit,0.02,0.25,1,1,0,0.43,0
University Campus,20:29,Poorly-lit,0.24,0.31,1,0,1,0.45,0
Market Area,22:09,Moderately-lit,0.06,0.36,0,0,0,0.89,0
Suburban Street,22:56,Well-lit,0.19,0.16,1,0,1,0.47,1
Industrial Zone,21:29,Well-lit,0.06,0.8,1,0,0,0.22,1
Residential Area,21:58,No lighting,0.2,0.27,0,0,0,0.45,0
Industrial Zone,05:01,No lighting,0.11,0.69,0,1,0,0.13,0
Public Transport Hub,19:30,No lighting,0.38,0.44,0,1,1,0.87,0
Commercial District,19:57,Moderately-lit,0.36,0.43,0,1,1,0.84,1
Market Area,03:19,No lighting,0.54,0.25,1,0,1,0.84,1
Market Area,00:53,Moderately-lit,0.05,0.47,0,1,1,0.78,1
Commercial District,20:19,Well-lit,0.22,0.63,0,1,0,0.83,1
Main Road,04:09,Well-lit,0.14,0.55,0,0,1,0.27,1
Alleyway,18:04,Poorly-lit,0.81,0.95,0,0,1,0.17,0
Suburban Street,18:16,No lighting,0.11,0.35,0,0,1,0.5,0
Commercial District,19:30,Well-lit,0.06,0.64,1,1,1,0.85,1
Residential Area,03:48,Moderately-lit,0.17,0.33,0,1,0,0.46,0
Main Road,18:28,No lighting,0.24,0.42,1,1,0,0.15,0
Park,22:12,Well-lit,0.14,0.45,0,1,1,0.24,1
Industrial Zone,05:38,No lighting,0.84,0.63,1,0,0,0.2,0
University Campus,18:18,Well-lit,0.1,0.41,1,1,0,0.51,1
Alleyway,19:00,Moderately-lit,0.21,0.69,0,0,1,0.27,0
Main Road,01:30,No lighting,0.29,0.46,1,1,1,0.11,0
Public Transport Hub,00:55,No lighting,0.18,0.4,1,1,0,0.81,0
Public Transport Hub,20:17,No lighting,0.34,0.42,1,1,1,0.85,1
Suburban Street,23:56,Poorly-lit,0.03,0.22,1,1,0,0.4,0
Main Road,03:51,Moderately-lit,0.45,0.31,0,1,1,0.22,0
Public Transport Hub,03:55,Moderately-lit,0.07,0.41,1,1,1,0.82,1
Main Road,05:06,Well-lit,0.26,0.34,1,1,1,0.15,0
Industrial Zone,00:38,Well-lit,0.01,0.84,0,0,0,0.25,0
Main Road,04:46,Well-lit,0.08,0.41,1,1,1,0.22,1
Market Area,22:46,Moderately-lit,0.02,0.49,1,1,0,0.79,1
Alleyway,05:51,No lighting,0.02,0.79,1,0,0,0.1,0
Alleyway,04:48,No lighting,0.23,0.82,0,0,1,0.24,0
Main Road,19:50,Moderately-lit,0.22,0.34,1,1,1,0.27,1
University Campus,05:17,Poorly-lit,0.18,0.22,1,0,0,0.46,0
Residential Area,03:47,Moderately-lit,0.16,0.34,1,0,0,0.52,0
University Campus,18:50,Moderately-lit,0.43,0.41,0,0,0,0.53,0
Residential Area,00:24,No lighting,0.06,0.16,0,0,1,0.51,0
Park,01:20,No lighting,0.1,0.47,1,1,1,0.14,0
Park,19:23,Moderately-lit,0.13,0.47,1,0,0,0.18,0
Alleyway,20:32,Well-lit,0.37,0.81,0,0,0,0.17,0
Industrial Zone,22:04,No lighting,0.35,0.67,1,1,1,0.27,0
Industrial Zone,02:55,Poorly-lit,0.17,0.7,1,0,0,0.23,0
Park,23:50,Well-lit,0.47,0.68,1,0,0,0.27,1
Park,01:46,Poorly-lit,0.01,0.53,0,1,1,0.27,0
Industrial Zone,23:21,Poorly-lit,0.36,0.84,0,0,0,0.18,0
Residential Area,20:13,Poorly-lit,0.29,0.17,1,0,0,0.52,0
Alleyway,23:22,Moderately-lit,0.04,0.89,0,0,0,0.13,1
Market Area,23:21,Well-lit,0.09,0.3,1,0,0,0.79,1
Industrial Zone,22:07,Moderately-lit,0.26,0.76,1,0,0,0.23,0
University Campus,20:20,Well-lit,0.01,0.18,1,0,0,0.47,1
Residential Area,03:17,Well-lit,0.09,0.21,1,1,0,0.42,1
Park,23:38,Well-lit,0.14,0.64,1,1,1,0.27,1
Suburban Street,23:52,Well-lit,0.82,0.19,0,0,0,0.43,1
Suburban Street,01:32,Poorly-lit,0.32,0.17,1,0,0,0.54,0
Industrial Zone,04:45,No lighting,0.48,0.64,0,0,0,0.27,0
Industrial Zone,02:32,Poorly-lit,0.04,0.65,1,0,1,0.17,0
Residential Area,00:46,Moderately-lit,0.02,0.06,1,0,1,0.53,1
Public Transport Hub,22:02,Moderately-lit,0.45,0.61,1,1,1,0.8,1
Alleyway,18:48,No lighting,0.32,0.73,0,0,1,0.18,0
Main Road,19:09,Moderately-lit,0.25,0.46,1,1,1,0.23,1
Public Transport Hub,19:17,Well-lit,0.07,0.39,0,1,1,0.88,1
Market Area,18:20,No lighting,0.29,0.43,1,0,0,0.76,0
Commercial District,00:50,No lighting,0.55,0.41,1,1,0,0.8,0
Main Road,20:43,Moderately-lit,0.05,0.32,0,1,1,0.17,1
Park,03:25,Poorly-lit,0.01,0.74,0,1,0,0.1,0
Alleyway,02:17,No lighting,0.02,0.74,1,0,1,0.27,0
Residential Area,19:30,No lighting,0.59,0.28,0,0,1,0.55,0
Public Transport Hub,21:18,Poorly-lit,0.15,0.45,0,1,0,0.7,0
Public Transport Hub,05:28,Moderately-lit,0.03,0.58,1,0,1,0.83,1
Suburban Street,05:44,Moderately-lit,0.06,0.32,1,0,0,0.58,0
Main Road,19:30,No lighting,0.0,0.37,1,1,1,0.22,1
Commercial District,01:08,Well-lit,0.14,0.45,0,1,1,0.71,1
Residential Area,03:37,No lighting,0.01,0.34,1,0,0,0.49,1
Industrial Zone,22:24,No lighting,0.9,0.75,0,1,0,0.25,0
Market Area,02:14,Poorly-lit,0.07,0.55,0,1,1,0.85,0
Industrial Zone,22:15,Moderately-lit,0.24,0.8,1,0,1,0.27,1
Commercial District,03:19,Well-lit,0.08,0.36,0,1,0,0.89,1
Suburban Street,00:53,Poorly-lit,0.14,0.4,0,1,0,0.48,0
Park,04:41,Moderately-lit,0.44,0.51,1,0,0,0.29,0
Park,01:15,No lighting,0.33,0.56,1,0,1,0.21,0
Main Road,21:36,No lighting,0.62,0.3,1,0,1,0.17,1
Alleyway,22:30,Well-lit,0.0,0.76,1,0,1,0.1,1
Public Transport Hub,23:05,No lighting,0.02,0.43,0,1,1,0.75,0
Industrial Zone,19:16,Well-lit,0.33,0.82,0,0,0,0.2,0
Market Area,23:26,Moderately-lit,0.21,0.47,1,0,0,0.72,0
Industrial Zone,23:13,No lighting,0.65,0.69,1,0,0,0.25,0
University Campus,00:49,Moderately-lit,0.03,0.29,0,0,1,0.48,0
Alleyway,01:50,Poorly-lit,0.34,0.79,0,1,0,0.11,0
Main Road,18:50,No lighting,0.15,0.4,1,1,1,0.26,1
Public Transport Hub,04:02,Well-lit,0.12,0.45,1,1,0,0.82,1
Alleyway,04:22,Moderately-lit,0.26,0.8,0,0,0,0.26,0
Industrial Zone,22:15,No lighting,0.51,0.63,0,0,0,0.23,0
Market Area,00:58,No lighting,0.6,0.35,1,1,0,0.89,1
Suburban Street,18:45,Moderately-lit,0.49,0.35,1,1,1,0.48,1
Market Area,19:20,No lighting,0.37,0.27,1,1,0,0.86,1
Market Area,01:55,Well-lit,0.25,0.43,0,0,1,0.9,1
Market Area,05:03,Moderately-lit,0.16,0.34,1,0,0,0.89,1
University Campus,22:33,Well-lit,0.28,0.2,1,1,0,0.52,1
Park,00:09,Well-lit,0.0,0.5,0,1,0,0.11,1
Suburban Street,05:15,Poorly-lit,0.01,0.34,1,1,0,0.45,0
Main Road,23:48,Poorly-lit,0.08,0.53,1,0,1,0.17,1
Residential Area,20:55,No lighting,0.36,0.11,1,1,0,0.4,0
Suburban Street,00:14,Well-lit,0.21,0.2,1,0,0,0.55,1
Market Area,18:25,Moderately-lit,0.07,0.31,1,0,1,0.75,1
Industrial Zone,23:23,No lighting,0.32,0.76,0,0,1,0.27,0
Park,05:41,Well-lit,0.31,0.52,1,1,0,0.2,1
Main Road,18:09,No lighting,0.31,0.42,0,1,0,0.29,1
Residential Area,18:32,No lighting,0.14,0.27,1,0,0,0.53,0
Alleyway,18:08,No lighting,0.31,0.68,0,0,0,0.13,0
Suburban Street,01:43,No lighting,0.46,0.3,1,0,0,0.43,0
Alleyway,01:00,Poorly-lit,0.29,0.86,0,0,0,0.16,0
Public Transport Hub,21:20,No lighting,0.03,0.35,1,0,1,0.79,0
Public Transport Hub,04:57,No lighting,0.23,0.51,1,1,1,0.74,1
Commercial District,19:26,Poorly-lit,0.04,0.41,1,1,1,0.9,1
University Campus,23:18,Moderately-lit,0.24,0.35,0,0,1,0.56,0
Suburban Street,00:34,Poorly-lit,0.27,0.33,1,0,1,0.49,0
University Campus,00:41,No lighting,0.01,0.37,0,0,0,0.49,0
Residential Area,05:27,No lighting,0.29,0.05,1,0,0,0.53,0
Main Road,01:29,Poorly-lit,0.46,0.34,0,1,1,0.28,0
Market Area,04:02,No lighting,0.15,0.36,1,0,1,0.87,1
Industrial Zone,02:21,Moderately-lit,0.18,0.75,0,0,0,0.11,0
Main Road,20:22,Moderately-lit,0.01,0.32,1,0,1,0.28,0
Main Road,19:12,No lighting,0.01,0.43,1,1,1,0.19,0
Commercial District,05:52,Well-lit,0.61,0.4,0,1,1,0.89,1
Market Area,20:17,Well-lit,0.18,0.45,1,0,0,0.74,1
Commercial District,02:28,Moderately-lit,0.05,0.58,0,1,0,0.83,0
University Campus,20:32,Moderately-lit,0.2,0.17,1,1,1,0.43,1
Suburban Street,19:15,No lighting,0.51,0.36,0,0,1,0.51,0
Suburban Street,20:55,Moderately-lit,0.03,0.38,0,0,1,0.53,1
University Campus,00:16,Poorly-lit,0.03,0.24,0,0,1,0.53,0
Alleyway,20:10,No lighting,0.11,0.82,1,0,0,0.15,0
Commercial District,21:41,Poorly-lit,0.24,0.59,0,1,1,0.76,0
Residential Area,20:32,Well-lit,0.35,0.14,1,0,0,0.59,1
Residential Area,21:02,Moderately-lit,0.64,0.19,1,0,0,0.47,0
University Campus,00:06,No lighting,0.14,0.38,0,0,0,0.4,0
University Campus,05:44,No lighting,0.5,0.34,1,1,1,0.45,1
Suburban Street,03:21,Well-lit,0.25,0.18,1,0,0,0.5,1
Commercial District,20:50,Moderately-lit,0.1,0.52,1,0,1,0.73,1
Industrial Zone,00:39,Poorly-lit,0.82,0.56,1,0,0,0.2,0
University Campus,20:23,Well-lit,0.02,0.22,1,1,1,0.54,0
Suburban Street,01:16,Moderately-lit,0.2,0.41,0,1,0,0.5,0
Park,00:10,Well-lit,0.32,0.59,0,0,0,0.28,0
Public Transport Hub,20:59,No lighting,0.15,0.61,1,1,0,0.74,0
Residential Area,22:39,Moderately-lit,0.58,0.33,1,1,0,0.53,1
Market Area,22:30,Moderately-lit,0.09,0.3,0,1,1,0.88,1
University Campus,22:52,Poorly-lit,0.18,0.34,0,1,0,0.59,0
Industrial Zone,22:35,No lighting,0.13,0.59,0,0,1,0.28,0
Market Area,23:07,Well-lit,0.41,0.5,0,0,0,0.75,1
Main Road,23:43,Moderately-lit,0.26,0.51,1,1,0,0.18,0
Public Transport Hub,01:28,Well-lit,0.15,0.57,0,1,1,0.89,1
Public Transport Hub,04:25,Well-lit,0.04,0.36,0,1,0,0.87,1
Industrial Zone,04:24,Moderately-lit,0.03,0.64,1,0,1,0.17,0
Residential Area,05:40,Well-lit,0.15,0.12,0,1,0,0.44,1
Residential Area,05:09,Well-lit,0.0,0.25,1,0,1,0.52,1
Park,20:20,No lighting,0.16,0.61,0,0,1,0.26,0
University Campus,18:57,Moderately-lit,0.16,0.29,1,0,0,0.47,0
Industrial Zone,23:53,Well-lit,0.01,0.68,1,0,1,0.12,1
Market Area,04:48,No lighting,0.02,0.31,1,1,0,0.86,1
Industrial Zone,01:44,No lighting,0.38,0.8,0,0,0,0.21,0
Public Transport Hub,01:52,Poorly-lit,0.5,0.6,0,1,1,0.87,0
Alleyway,23:57,Moderately-lit,0.25,0.86,0,0,0,0.24,0
Suburban Street,19:55,No lighting,0.1,0.22,1,0,1,0.48,0
University Campus,04:37,Poorly-lit,0.04,0.42,1,0,0,0.46,0
Park,03:56,No lighting,0.25,0.48,0,0,1,0.18,0
Residential Area,22:58,Well-lit,0.04,0.23,0,0,0,0.43,1
Park,02:46,No lighting,0.36,0.72,1,0,0,0.11,0
University Campus,03:28,Well-lit,0.82,0.34,1,1,0,0.59,1
Market Area,18:02,Moderately-lit,0.39,0.49,0,0,0,0.83,0
Park,01:34,Poorly-lit,0.32,0.54,1,0,0,0.27,0
Industrial Zone,05:52,Well-lit,0.48,0.69,0,0,1,0.22,0
Market Area,22:20,Moderately-lit,0.21,0.48,0,0,0,0.74,0
Market Area,02:56,Poorly-lit,0.14,0.53,0,1,0,0.71,0
Public Transport Hub,21:32,Moderately-lit,0.46,0.64,1,1,1,0.75,1
University Campus,00:44,Moderately-lit,0.37,0.33,0,0,0,0.49,0
Industrial Zone,05:57,Poorly-lit,0.07,0.57,1,0,0,0.16,0
Alleyway,18:25,Poorly-lit,0.64,0.67,1,0,0,0.12,0
Alleyway,18:46,No lighting,0.56,0.69,0,0,0,0.26,0
Park,03:04,Moderately-lit,0.53,0.52,0,0,0,0.28,0
Industrial Zone,22:50,Poorly-lit,0.0,0.66,1,1,0,0.17,0
Alleyway,01:04,Well-lit,0.13,0.76,0,0,0,0.11,0
Suburban Street,03:23,Poorly-lit,0.3,0.44,1,0,1,0.46,0
Market Area,20:33,Well-lit,0.37,0.4,0,0,0,0.88,1
Main Road,03:10,No lighting,0.42,0.4,0,1,1,0.25,0
University Campus,00:59,Poorly-lit,0.09,0.21,1,0,0,0.6,0
Residential Area,01:40,Poorly-lit,0.16,0.1,1,0,1,0.52,0
Public Transport Hub,03:27,No lighting,0.13,0.65,0,1,1,0.82,0
Public Transport Hub,02:58,Well-lit,0.2,0.53,0,1,0,0.78,1
Market Area,21:21,Poorly-lit,0.08,0.46,0,0,0,0.75,0
